,American_University,Amherst_College,Babson_College,Barnard_College,Baylor_University,Bentley_University,Binghamton_University,Boston_College,Boston_University,Brandeis_University,Brigham_Young_University-Provo,Brown_University,Bucknell_University,California_Institute_of_Technology,California_Polytechnic_State_University-San_Luis_Obispo,Carleton_College,Carnegie_Mellon_University,Case_Western_Resee_University,Claremont_McKenna_College,Clemson_University,Colby_College,Colgate_University,College_of_the_Holy_Cross,Colorado_School_of_Mines,Columbia_University_in_the_City_of_New_York,Connecticut_College,Cooper_Union_for_the_Advancement_of_Science_and_Art,Cornell_University,Dartmouth_College,Davidson_College,Denison_University,Duke_University,Emerson_College,Emory_University,Florida_State_University,Fordham_University,Franklin_W_Olin_College_of_Engineering,George_Washington_University,Georgetown_University,Georgia_Institute_of_Technology-Main_Campus,Grinnell_College,Hamilton_College,Haard_University,Haey_Mudd_College,Haverford_College,Hobart_William_Smith_Colleges,Illinois_Institute_of_Technology,Johns_Hopkins_University,Kenyon_College,Lafayette_College,Lehigh_University,Loyola_Marymount_University,Macalester_College,Massachusetts_Institute_of_Technology,Middlebury_College,Muhlenberg_College,New_York_University,North_Carolina_State_University_at_Raleigh,Northeastern_University,Northwestern_University,Oberlin_College,Occidental_College,Ohio_State_University-Main_Campus,Pepperdine_University,Pomona_College,Princeton_University,Reed_College,Rensselaer_Polytechnic_Institute,Rhode_Island_School_of_Design,Rice_University,Rochester_Institute_of_Technology,Rose-Hulman_Institute_of_Technology,Santa_Clara_University,Sarah_Lawrence_College,Scripps_College,Skidmore_College,Soka_University_of_America,Southern_Methodist_University,St_Lawrence_University,St_Olaf_College,Stanford_University,Stevens_Institute_of_Technology,Stony_Brook_University,Swarthmore_College,Syracuse_University,The_University_of_Texas_at_Austin,Trinity_College,Trinity_University,Tufts_University,Tulane_University_of_Louisiana,Union_College,United_States_Air_Force_Academy,United_States_Naval_Academy,University_of_California-Berkeley,University_of_California-Los_Angeles,University_of_California-San_Diego,University_of_California-Santa_Barbara,University_of_California-Santa_Cruz,University_of_Chicago,University_of_Connecticut,University_of_Florida,University_of_Georgia,University_of_Illinois_at_Urbana-Champaign,University_of_Maryland-College_Park,University_of_Miami,University_of_Michigan-Ann_Arbor,University_of_Minnesota-Twin_Cities,University_of_North_Carolina_at_Chapel_Hill,University_of_Notre_Dame,University_of_Pennsylvania,University_of_Pittsburgh-Pittsburgh_Campus,University_of_Richmond,University_of_Rochester,University_of_San_Diego,University_of_Southern_California,University_of_Virginia-Main_Campus,University_of_Washington-Seattle_Campus,University_of_Wisconsin-Madison,Vanderbilt_University,Vassar_College,Villanova_University,Washington_and_Lee_University,Washington_University_in_St_Louis,Webb_Institute,Wellesley_College,Whitman_College,William_&_Mary,Williams_College,Yale_University,ID,Year
2019,36,11,26,12,45,47,41,27,19,30,67,7,34,6,28,19,15,27,10,51,10,23,34,53,5,37,15,11,8,18,29,8,33,16,36,46,16,41,14,21,23,16,5,14,16,66,60,11,34,31,32,44,32,7,15,66,16,45,18,9,36,37,54,32,7,6,39,47,26,9,71,74,49,53,32,30,40,47,42,48,4,40,44,9,44,32,33,29,15,13,43,11,8,16,12,31,30,51,6,49,37,45,59,44,27,23,57,23,16,8,57,28,30,49,11,24,52,54,9,24,28,19,14,24,22,56,38,13,6,1,2019
2018,32,13,24,14,39,43,40,28,22,31,64,8,33,7,30,20,17,29,9,47,13,25,38,49,6,38,16,11,9,19,34,9,36,19,37,46,16,42,15,22,24,21,5,14,19,57,58,11,36,29,22,47,41,7,17,62,20,47,19,8,36,37,52,36,8,5,35,43,24,11,66,68,50,56,24,27,39,51,46,50,4,41,42,9,50,39,34,34,15,17,39,11,9,15,14,30,32,47,7,49,39,49,62,47,32,23,52,23,18,8,59,30,29,53,13,26,49,52,10,25,29,21,15,33,20,50,37,13,6,2,2018
2017,29,13,24,15,39,44,40,32,25,34,52,8,31,8,35,21,22,33,10,47,16,28,40,56,6,38,13,13,10,20,37,10,46,22,49,46,13,41,16,23,29,24,5,15,20,64,54,13,34,31,25,52,41,7,17,48,28,51,27,9,34,42,48,40,8,6,36,43,29,16,57,61,54,53,33,25,37,49,48,43,5,44,42,11,47,36,34,38,15,21,37,12,8,17,16,34,33,51,9,48,42,54,62,45,36,27,50,24,19,9,60,33,34,50,16,27,46,54,11,24,36,22,16,35,22,52,36,15,7,3,2017
2016,26,14,25,17,40,46,41,31,29,33,51,9,30,8,29,23,22,35,9,51,19,29,38,40,7,35,NA,14,11,20,44,11,48,25,58,45,10,40,17,26,20,26,5,13,21,58,57,13,27,28,26,54,37,8,16,48,32,48,29,11,28,46,54,37,9,7,31,44,34,15,55,61,48,52,30,29,38,49,43,45,5,39,41,13,52,40,34,41,14,26,37,15,8,17,18,36,36,58,8,49,46,54,60,48,38,29,44,27,19,9,55,32,36,51,17,30,45,53,11,27,44,24,17,29,29,51,37,18,6,4,2016
2015,35,14,26,20,44,42,42,29,33,34,48,9,25,9,31,21,24,36,11,51,23,27,37,38,7,40,NA,15,11,22,48,11,49,24,56,48,11,46,17,32,25,25,6,13,25,56,53,14,26,30,30,51,39,8,17,48,32,50,28,13,29,45,49,38,10,7,35,42,37,16,57,58,49,53,28,36,46,49,46,36,5,44,41,12,48,39,33,48,16,30,38,17,9,17,17,34,33,50,8,53,48,53,66,45,38,26,45,31,20,10,54,31,34,52,18,30,53,58,12,26,48,24,17,36,30,43,34,18,7,5,2015
2014,46,14,26,24,55,46,44,34,35,35,47,9,31,9,31,23,25,38,11,52,28,26,43,36,7,38,15,14,12,22,56,11,49,27,55,48,12,44,17,33,28,26,6,14,25,48,51,16,25,30,34,53,36,8,17,53,35,52,32,13,33,42,53,35,12,7,39,38,33,15,57,59,49,53,28,37,43,52,48,51,5,44,41,17,53,40,33,48,17,28,41,17,8,16,19,33,36,56,9,50,46,56,59,48,38,32,45,28,21,10,53,32,36,46,18,29,55,57,13,24,49,19,17,33,30,41,33,19,6,6,2014
2013,43,14,28,21,57,44,43,32,46,37,49,9,30,11,31,21,25,42,12,58,26,26,33,37,7,36,8,16,10,26,46,13,48,26,57,47,17,33,17,55,35,27,6,18,23,49,57,18,38,34,31,54,34,8,17,46,32,50,32,15,30,42,56,37,14,7,49,41,27,17,60,56,51,62,36,35,43,51,46,59,6,38,39,14,49,40,32,64,19,26,37,15,7,18,22,38,44,60,9,54,47,56,62,47,40,33,44,28,22,12,56,31,36,49,20,30,55,68,13,24,49,18,16,30,29,57,33,17,7,7,2013
2012,44,13,29,23,61,45,41,29,49,39,55,10,27,13,37,26,28,54,14,63,29,29,34,45,7,34,8,17,10,25,50,14,48,27,54,43,19,33,18,51,36,27,6,19,23,53,54,18,36,34,33,50,37,9,18,46,35,53,32,18,31,39,64,38,13,8,36,44,25,17,58,65,54,60,32,42,46,54,48,60,7,40,40,14,51,47,34,64,21,27,38,10,7,22,27,35,46,67,13,45,44,63,63,47,40,37,50,33,23,13,58,30,35,43,20,30,58,69,14,23,46,19,18,38,30,49,32,17,8,8,2012
