"","instnm","Average.net.price.students.awarded.grant.or.scholarship.aid..2018.19..SFA1819.","Average.net.price..income.0.30.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Average.net.price..income.30.001.48.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Average.net.price..income.48.001.75.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Average.net.price..income.75.001.110.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Average.net.price..income.over.110.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Percent.of.full.time.first.time.undergraduates.awarded.any.financial.aid..SFA1819.","Percent.of.full.time.first.time.undergraduates.awarded.federal..state..local.or.institutional.grant.aid..SFA1819.","Average.net.price..income.30.001.48.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Average.net.price..income.75.001.110.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Average.net.price..income.48.001.75.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Average.net.price..income.0.30.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Average.net.price..income.over.110.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Total.number.of.undergraduates...financial.aid.cohort..SFA1819.","Percent.of.undergraduate.students.awarded.federal..state..local..institutional.or.other.sources.of.grant.aid..SFA1819.","State.abbreviation..HD2019.","FIPS.state.code..HD2019.","Bureau.of.Economic.Analysis..BEA..regions..HD2019.","Total.price.for.in.state.students.living.on.campus.2019.20..DRVIC2019.","Total.price.for.out.of.state.students.living.on.campus.2019.20..DRVIC2019.","SAT.Evidence.Based.Reading.and.Writing.25th.percentile.score..ADM2019.","SAT.Evidence.Based.Reading.and.Writing.75th.percentile.score..ADM2019.","SAT.Math.25th.percentile.score..ADM2019.","SAT.Math.75th.percentile.score..ADM2019.","ACT.Composite.75th.percentile.score..ADM2019.","ACT.Composite.25th.percentile.score..ADM2019.","Percent.admitted...total..DRVADM2019.","Percent.admitted...total..DRVADM2018_RV.","Student.to.faculty.ratio..EF2018D_RV.","Percent.admitted...total..DRVADM2017_RV.","Percent.admitted...total..DRVADM2016_RV.","Percent.admitted...total..DRVADM2015_RV.","Percent.admitted...total..DRVADM2014_RV.","Percent.admitted...total..DRVIC2013_RV.","Percent.admitted...total..DRVIC2012_RV.","X"
"83","Stony Brook University",NA,NA,NA,NA,NA,NA,79,72,12993,19703,18186,10683,22454,17522,61,"NY",36,2,27221,44891,590,690,640,750,32,26,44,42,18,42,41,41,41,39,40,NA
"84","Swarthmore College",19759,5860,8701,13744,25800,39646,63,56,NA,NA,NA,NA,NA,1647,61,"PA",42,2,73932,73932,680,750,700,790,35,31,9,9,8,11,13,12,17,14,14,NA
"85","Syracuse University",43111,17164,21360,24698,27922,46898,82,79,NA,NA,NA,NA,NA,15226,73,"NY",36,2,73069,73069,580,670,600,710,30,26,44,50,15,47,52,48,53,49,51,NA
"86","The University of Texas at Austin",NA,NA,NA,NA,NA,NA,67,46,13575,20454,15757,12203,24670,40804,49,"TX",48,6,27728,55230,620,720,610,760,33,27,32,39,18,36,40,39,40,40,47,NA
"87","Trinity College",27829,6256,9123,14994,21772,46711,56,51,NA,NA,NA,NA,NA,2182,52,"CT",9,1,76850,76850,638,710,660,740,32,29,33,34,9,34,34,33,33,32,34,NA
"88","Trinity University",30505,12373,12991,18012,24520,34835,99,99,NA,NA,NA,NA,NA,2474,95,"TX",48,6,60664,60664,650,720,640,730,32,29,29,34,9,38,41,48,48,64,64,NA
"89","Tufts University",26280,5267,6516,13525,27430,51038,45,37,NA,NA,NA,NA,NA,5643,41,"MA",25,1,76200,76200,680,750,710,790,34,32,15,15,9,15,14,16,17,19,21,NA
"90","Tulane University of Louisiana",40783,23968,24632,26168,34240,44795,79,76,NA,NA,NA,NA,NA,8523,70,"LA",22,5,74884,74884,660,750,700,770,33,31,13,17,8,21,26,30,28,26,27,NA
"91","Union College",39527,14238,14952,20504,30309,44648,85,82,NA,NA,NA,NA,NA,2205,80,"NY",36,2,73410,73410,600,680,620,740,32,27,43,39,10,37,37,38,41,37,38,NA
"92","United States Air Force Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CO",8,0,NA,NA,610,700,620,740,33,28,11,11,8,12,15,17,17,15,10,NA
"93","United States Naval Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MD",24,0,NA,NA,620,710,620,750,32,26,8,9,8,8,8,9,8,7,7,NA
"94","University of California-Berkeley",NA,NA,NA,NA,NA,NA,63,54,9130,21401,13081,8392,32504,30853,57,"CA",6,8,39376,69130,650,740,680,790,35,31,16,15,20,17,17,17,16,18,22,NA
"95","University of California-Los Angeles",NA,NA,NA,NA,NA,NA,61,51,9254,19590,13081,8553,28745,31577,59,"CA",6,8,35793,65547,650,740,650,790,35,29,12,14,18,16,18,17,19,22,27,NA
"96","University of California-San Diego",NA,NA,NA,NA,NA,NA,63,56,9974,20205,14071,9280,28058,30285,58,"CA",6,8,33849,63603,620,710,630,780,34,26,31,30,19,34,36,34,33,38,35,NA
"97","University of California-Santa Barbara",NA,NA,NA,NA,NA,NA,63,57,11895,22226,15343,10316,31226,23070,62,"CA",6,8,36765,66519,620,710,610,770,34,27,30,32,22,33,36,33,36,44,46,NA
"98","University of California-Santa Cruz",NA,NA,NA,NA,NA,NA,70,63,11793,22739,15253,10872,32720,17792,67,"CA",6,8,37297,67051,600,670,600,710,32,26,51,47,19,51,58,50,56,60,67,NA
"99","University of Chicago",34719,2712,2800,7934,17929,43156,57,51,NA,NA,NA,NA,NA,6632,57,"IL",17,3,81531,81531,730,770,770,800,35,33,6,7,5,9,8,8,9,9,13,NA
"100","University of Connecticut",NA,NA,NA,NA,NA,NA,75,61,14157,26179,19243,12381,28653,19133,60,"CT",9,1,34284,56952,590,690,610,720,32,26,49,49,16,48,49,53,50,54,45,NA
"101","University of Florida",NA,NA,NA,NA,NA,NA,92,88,4069,12685,8528,1994,13820,35491,82,"FL",12,5,21211,43489,650,720,660,750,33,28,37,39,18,42,46,48,46,47,44,NA
"102","University of Georgia",NA,NA,NA,NA,NA,NA,97,95,10241,17105,14748,7541,17369,29611,86,"GA",13,5,27450,46490,630,700,610,720,32,27,45,49,17,54,54,53,56,56,63,NA
"103","University of Illinois at Urbana-Champaign",NA,NA,NA,NA,NA,NA,64,50,8464,21998,13351,5477,27310,33915,52,"IL",17,3,30302,47444,600,700,610,770,32,26,59,62,20,62,60,66,59,62,63,NA
"104","University of Maryland-College Park",NA,NA,NA,NA,NA,NA,66,48,12128,22710,18418,8054,25151,30762,49,"MD",24,2,27866,53978,630,710,650,760,34,29,44,47,18,45,48,45,48,47,47,NA
"105","University of Miami",33102,42611,36623,38540,44741,54089,74,70,NA,NA,NA,NA,NA,11117,67,"FL",12,5,70906,70906,630,700,640,740,32,29,27,32,12,36,38,38,38,40,40,NA
"106","University of Michigan-Ann Arbor",NA,NA,NA,NA,NA,NA,65,52,5887,18039,10028,3166,26072,30318,52,"MI",26,3,31056,66698,660,740,680,790,34,31,23,23,11,27,29,26,32,33,37,NA
"107","University of Minnesota-Twin Cities",NA,NA,NA,NA,NA,NA,81,61,8418,19942,12556,7266,24913,34663,56,"MN",27,4,28819,47117,600,710,660,770,31,26,57,52,17,50,44,45,45,44,50,NA
"108","University of North Carolina at Chapel Hill",NA,NA,NA,NA,NA,NA,65,44,6063,18354,11060,4026,22235,19117,52,"NC",37,5,24228,51407,650,730,660,770,33,28,23,23,13,24,27,31,28,28,33,NA
"109","University of Notre Dame",30536,12498,15609,17768,24392,44547,68,56,NA,NA,NA,NA,NA,8617,61,"IN",18,3,74193,74193,680,760,720,790,35,32,16,18,10,19,19,20,21,22,23,NA
"110","University of Pennsylvania",24771,3181,4833,12752,20632,41421,59,49,NA,NA,NA,NA,NA,11851,52,"PA",42,2,77264,77264,700,760,750,800,35,33,8,8,6,9,9,10,10,12,13,NA
"111","University of Pittsburgh-Pittsburgh Campus",NA,NA,NA,NA,NA,NA,77,55,21011,28358,25110,20075,31201,19330,55,"PA",42,2,34409,48437,630,700,630,740,33,28,57,59,14,60,55,54,53,56,58,NA
"112","University of Richmond",25282,9112,9131,12923,24206,46570,64,57,NA,NA,NA,NA,NA,3295,70,"VA",51,5,69750,69750,640,710,650,750,33,30,28,30,8,33,32,31,32,31,30,NA
"113","University of Rochester",32939,15324,14508,23659,29342,44732,81,79,NA,NA,NA,NA,NA,6535,79,"NY",36,2,75190,75190,640,720,670,780,34,30,30,29,10,34,36,34,36,36,35,NA
"114","University of San Diego",35936,22263,23224,25727,30369,41679,82,80,NA,NA,NA,NA,NA,5855,70,"CA",6,8,70999,70999,600,680,590,690,31,26,49,53,14,50,51,52,46,49,43,NA
"115","University of Southern California",37521,14668,16252,20050,30858,52271,69,65,NA,NA,NA,NA,NA,19907,62,"CA",6,8,77459,77459,670,740,690,790,34,31,11,13,9,16,17,18,18,20,20,NA
"116","University of Virginia-Main Campus",NA,NA,NA,NA,NA,NA,57,37,11696,21646,14671,8882,29877,16777,43,"VA",51,5,34094,67196,670,740,670,780,34,30,24,26,15,27,30,30,29,30,30,NA
"117","University of Washington-Seattle Campus",NA,NA,NA,NA,NA,NA,57,43,7467,18110,9694,7850,24879,32099,46,"WA",53,8,28394,55095,600,700,620,770,33,27,52,49,19,46,45,53,55,55,58,NA
"118","University of Wisconsin-Madison",NA,NA,NA,NA,NA,NA,61,49,6860,21860,13227,4367,24574,31705,42,"WI",55,3,26553,53613,630,700,670,780,32,27,54,52,17,54,53,58,57,68,69,NA
"119","Vanderbilt University",25855,3156,6017,8086,14890,36667,68,63,NA,NA,NA,NA,NA,6861,66,"TN",47,5,73148,73148,710,760,750,800,35,33,9,10,7,11,11,12,13,13,14,NA
"120","Vassar College",24811,8186,6080,14900,29046,42777,61,55,NA,NA,NA,NA,NA,2456,64,"NY",36,2,75240,75240,680,750,690,770,34,31,24,25,8,24,27,26,24,24,23,NA
"121","Villanova University",36840,22517,21359,30371,34607,50567,63,52,NA,NA,NA,NA,NA,6917,52,"PA",42,2,73124,73124,650,710,670,760,34,31,28,29,11,36,44,48,49,49,46,NA
"122","Washington and Lee University",23301,1612,2039,4718,13920,38630,66,62,NA,NA,NA,NA,NA,1829,61,"VA",51,5,73900,73900,670,730,690,770,34,32,19,21,8,22,24,24,19,18,19,NA
"123","Washington University in St Louis",27108,5273,6248,11832,25505,45758,51,43,NA,NA,NA,NA,NA,7751,45,"MO",29,4,76910,76910,720,760,760,800,35,33,14,15,7,16,17,17,17,16,18,NA
"124","Webb Institute",19249,NA,730,21075,NA,18075,100,100,NA,NA,NA,NA,NA,104,100,"NY",36,2,72690,72690,680,730,730,790,34,31,24,33,9,35,29,36,33,30,38,NA
"125","Wellesley College",19805,8785,4519,14229,22275,48175,66,57,NA,NA,NA,NA,NA,2534,58,"MA",25,1,75198,75198,680,750,680,780,34,31,22,20,8,22,29,30,30,29,30,NA
"126","Whitman College",41822,22616,23487,26974,33017,47166,88,86,NA,NA,NA,NA,NA,1475,78,"WA",53,8,69532,69532,630,710,610,740,33,28,56,50,9,52,51,43,41,57,49,NA
"127","William & Mary",NA,NA,NA,NA,NA,NA,56,43,4963,20416,11721,4711,33425,6377,49,"VA",51,5,39595,62821,660,740,660,770,34,30,38,37,11,36,37,34,33,33,32,NA
"128","Williams College",17303,2498,2223,7134,14653,40664,63,51,NA,NA,NA,NA,NA,2100,56,"MA",25,1,75520,75520,700,760,710,790,35,32,13,13,6,15,18,18,19,17,17,NA
"129","Yale University",18073,2125,1647,2167,11492,43417,64,56,NA,NA,NA,NA,NA,5964,55,"CT",9,1,76645,76645,720,770,740,800,35,33,6,6,6,7,6,7,6,7,8,NA
